Input_FID,FID_1,index,tile,confidence,diameter_k,res,lat,long,OBJECTID_2,OBJECTID,Shape_Leng,Unit,UnitDesc,SphArea_km,id,area,lat_1,Shape_Le_1,area_pol,Shape_Le_2,Shape_Area
"184","351819","7577",tile_2334_47_35,0.95028100000,0.08941000000,5m,0.24834730100,-177.21461910000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,11.65290000000,0.21986866073,0.00331661070
"187","351822","7573",tile_2333_47_34,0.70851500000,0.13326000000,5m,0.24962618200,-177.29830990000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,10.73210000000,0.23402931962,0.00305455112
"173","351808","7571",tile_2331_47_32,0.51927400000,0.13228000000,5m,0.23881047400,-177.45503240000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,5.96269000000,0.16917451900,0.00169708397
"211","351846","7286",tile_2279_46_30,0.22286300000,0.09883000000,5m,0.27534397500,-177.58977550000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,7.27903000000,0.20471474893,0.00207173693
"258","351893","7271",tile_2278_46_29,0.99932800000,0.36640000000,5m,0.30531093400,-177.68974210000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,26.15600000000,0.50104013756,0.00744445423
"376","352015","7017",tile_2228_45_29,0.20315700000,0.07532000000,5m,0.40493255700,-177.68767040000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,112.79600000000,0.85956645217,0.03210360404
"344","351981","7019",tile_2229_45_30,0.99442200000,0.18536000000,5m,0.37117891100,-177.60016240000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,6.92629000000,0.17320623982,0.00197134086
"352","351989","7024",tile_2231_45_32,0.41245000000,0.09668000000,5m,0.37779760900,-177.45170850000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,6.46770000000,0.17894020200,0.00184081886
"364","352002","7025",tile_2232_45_33,0.99568700000,0.18183000000,5m,0.38779873000,-177.33150480000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,6.04744000000,0.16200198128,0.00172120604
"357","351995","7036",tile_2234_45_35,0.77395100000,0.05617000000,5m,0.38309478100,-177.20627390000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,10.02980000000,0.21900010392,0.00285466657
"361","351999","7042",tile_2236_45_37,0.51619300000,0.19687000000,5m,0.38660371800,-177.04912080000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,9.29046000000,0.20713037344,0.00264422462
"358","351996","7049",tile_2238_45_39,0.90461300000,0.09893000000,5m,0.38387700400,-176.91949450000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,4.05640000000,0.15235381162,0.00115452130
"379","352018","7056",tile_2239_45_40,0.99700200000,0.15580000000,5m,0.40821978300,-176.79643790000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,9.53990000000,0.21511325404,0.00271521992
"342","351979","7071",tile_2241_45_42,0.99969200000,0.21878000000,5m,0.37044495000,-176.65706190000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,6.77297000000,0.20058775877,0.00192770329
"373","352012","7073",tile_2242_45_43,0.64717100000,0.08964000000,5m,0.39862272900,-176.53830440000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,11.17370000000,0.22708391650,0.00318022420
"374","352013","7078",tile_2244_45_45,0.87625700000,0.22626000000,5m,0.39882469900,-176.41952350000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,14.63780000000,0.25187568929,0.00416615720
"319","351955","7384",tile_2296_46_47,0.93505800000,0.07673000000,5m,0.34886342000,-176.27270700000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,10.02490000000,0.21629447574,0.00285325472
"367","352005","7090",tile_2247_45_48,0.92533000000,0.14624000000,5m,0.39148898100,-176.13000010000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,132.08600000000,0.93123843647,0.03759387335
